ddt,dd
6.564170955916124512e+03,1.611652027130506212e+03
6.847841045534869409e+03,1.611652027130506212e+03
6.348983852629436115e+03,1.396143787104637795e+03
6.464599282341817343e+03,1.396143787104637795e+03
5.030654992406375641e+03,2.153209901381701002e+03
5.113566957049393750e+03,2.153209901381701002e+03
6.312646068591056064e+03,1.125867771645936728e+03
7.471495852030176138e+03,1.125867771645936728e+03
5.162438559866115611e+03,2.152208297824281544e+03
5.069254767061735947e+03,2.152208297824281544e+03
6.771218758847448044e+03,1.385735805421825944e+03
6.585059589564790258e+03,1.385735805421825944e+03
6.836364460839668936e+03,2.345607337261300017e+03
4.984699852291545540e+03,2.345607337261300017e+03
4.926328647087912941e+03,3.709730234185841709e+03
4.937838501542094491e+03,3.709730234185841709e+03
6.267824675756429315e+03,1.718822013946171637e+03
6.558439923448778245e+03,1.718822013946171637e+03
5.850617163786253514e+03,1.734615096345108896e+03
5.901211590915210763e+03,1.734615096345108896e+03
6.990458202399819129e+03,1.570531530562103399e+03
6.909678823861889214e+03,1.570531530562103399e+03
5.835794424600930142e+03,1.840559020921175716e+03
5.869579165810576342e+03,1.840559020921175716e+03
5.608681306073857741e+03,1.387169135131360463e+03
5.624421394920028433e+03,1.387169135131360463e+03
6.340227650989488211e+03,1.614182905285008928e+03
6.435470148770408741e+03,1.614182905285008928e+03
5.401148616730147296e+03,2.248912389603910924e+03
5.196408127306363895e+03,2.248912389603910924e+03
6.188674362575871783e+03,1.361059671122803820e+03
6.243020989756865674e+03,1.361059671122803820e+03
5.197103019429279811e+03,2.939244939488201908e+03
5.041238122956287043e+03,2.939244939488201908e+03
5.589153460511643061e+03,2.165660572783325279e+03
5.555901633168607987e+03,2.165660572783325279e+03
5.196329994074957540e+03,2.706265354535607457e+03
4.838297546464618790e+03,2.706265354535607457e+03
6.661400504989580440e+03,1.452597428221948121e+03
6.904622588280467426e+03,1.452597428221948121e+03
6.735283513652817419e+03,1.518166710307543781e+03
6.776331334199662706e+03,1.518166710307543781e+03
6.226549207656948056e+03,1.410652445039539998e+03
6.082051586180455161e+03,1.410652445039539998e+03
5.084125647369293802e+03,2.472181651325042822e+03
4.815289783237493793e+03,2.472181651325042822e+03
6.020257551893758318e+03,2.062345179965789157e+03
6.151583360101698418e+03,2.062345179965789157e+03
5.218644905960461074e+03,2.296645903917003125e+03
5.070483995452306772e+03,2.296645903917003125e+03
6.421536109742748522e+03,2.331095838885717967e+03
6.622094368267867139e+03,2.331095838885717967e+03
6.007286987731606132e+03,1.131864578531663938e+03
6.079013412494196018e+03,1.131864578531663938e+03
6.582812669315835592e+03,1.324934244939004202e+03
6.688792120175833588e+03,1.324934244939004202e+03
5.389761722446741260e+03,3.886806092783042459e+03
5.325383411487532612e+03,3.886806092783042459e+03
5.279586186860609814e+03,3.736138086613211271e+03
5.242554170522466848e+03,3.736138086613211271e+03
6.209885824554663486e+03,1.645140002455391596e+03
6.589697834409647839e+03,1.645140002455391596e+03
4.950697767806084812e+03,4.179688224680473468e+03
5.091151865630381508e+03,4.179688224680473468e+03
4.694030220337761421e+03,2.443109840637162506e+03
4.630217171585394681e+03,2.443109840637162506e+03
5.926511661402718346e+03,1.970254351384388656e+03
5.814335547691805914e+03,1.970254351384388656e+03
5.843298457322543072e+03,1.925652525692383733e+03
5.604887226465723870e+03,1.925652525692383733e+03
6.688996844950953346e+03,1.611361557905772088e+03
6.595032004128729568e+03,1.611361557905772088e+03
5.660927564702544259e+03,1.640714751218540187e+03
5.546343735688741617e+03,1.640714751218540187e+03
6.308565297787858071e+03,1.369908908562832949e+03
7.316863459190483809e+03,1.369908908562832949e+03
6.649599674219683038e+03,1.488005616541014660e+03
6.180319402440989506e+03,1.488005616541014660e+03
6.264671414529453614e+03,1.223083123499692420e+03
6.350260881264226555e+03,1.223083123499692420e+03
6.273227562979262075e+03,1.217928824503921533e+03
6.227331587398572992e+03,1.217928824503921533e+03
6.186041043599261684e+03,1.531546250492047193e+03
6.459664140946808402e+03,1.531546250492047193e+03
5.726286956065833692e+03,1.918913673464581734e+03
5.671083207251167551e+03,1.918913673464581734e+03
6.517133962056176642e+03,1.479502601238946227e+03
6.270767324285870018e+03,1.479502601238946227e+03
5.579513934757544121e+03,1.381770603237320984e+03
5.428939115782338376e+03,1.381770603237320984e+03
4.618179854113534930e+03,3.377726312043121197e+03
4.691352705195228737e+03,3.377726312043121197e+03
5.991528741552269821e+03,2.129607680672852439e+03
6.030609048228960091e+03,2.129607680672852439e+03
6.193573738076027439e+03,1.880143569390206949e+03
6.451438640958385804e+03,1.880143569390206949e+03
6.311769121011387142e+03,2.190450091069721111e+03
6.266399472700618389e+03,2.190450091069721111e+03
5.269969335121625591e+03,1.829350397928747270e+03
5.117946588684984818e+03,1.829350397928747270e+03
5.614229073276374947e+03,1.457102086867012076e+03
5.759397429563221522e+03,1.457102086867012076e+03
7.071767972246578211e+03,1.515389872699042371e+03
6.860303852716935580e+03,1.515389872699042371e+03
6.764417765054881784e+03,1.302811433034330321e+03
6.977355936528737402e+03,1.302811433034330321e+03
6.302267341213953841e+03,1.988758179818845065e+03
6.225982307621927248e+03,1.988758179818845065e+03
6.129463352342471808e+03,1.774043387479634021e+03
6.165474409706427650e+03,1.774043387479634021e+03
6.583297442208964640e+03,2.351927056527480545e+03
6.745703294033940438e+03,2.351927056527480545e+03
6.559230974039673129e+03,9.025498909606196776e+02
6.516439523459030170e+03,9.025498909606196776e+02
5.479517390720969161e+03,2.718806266279911597e+03
5.172341594369030645e+03,2.718806266279911597e+03
6.426521898764768594e+03,2.007494733072057215e+03
6.169046850641953824e+03,2.007494733072057215e+03
6.378988983298841958e+03,1.914525794832173688e+03
6.341323477883065607e+03,1.914525794832173688e+03
5.871515562950751701e+03,2.000602646526207991e+03
5.914885262959423926e+03,2.000602646526207991e+03
5.236415356778904425e+03,3.589715579370070373e+03
5.274476669578615656e+03,3.589715579370070373e+03
6.099796732312635868e+03,1.494540900900498855e+03
5.934116373875343925e+03,1.494540900900498855e+03
5.763012076978858204e+03,1.626972599227692399e+03
5.807448290508398713e+03,1.626972599227692399e+03
5.450630823092450555e+03,1.898405521758026907e+03
5.662909645138224732e+03,1.898405521758026907e+03
4.558590325583847516e+03,3.473574282686547122e+03
4.569056866468987209e+03,3.473574282686547122e+03
7.836317050829966320e+03,1.193056573772494630e+03
7.102652358313373952e+03,1.193056573772494630e+03
5.959026075789057359e+03,1.221485992269453618e+03
5.783925719216225843e+03,1.221485992269453618e+03
6.873056420986973535e+03,1.527033508631950781e+03
7.270065468873627651e+03,1.527033508631950781e+03
5.065514409868397706e+03,1.519926389871241554e+03
5.100457634335303737e+03,1.519926389871241554e+03
5.128628901389690327e+03,1.773674763613684036e+03
5.077370906001489857e+03,1.773674763613684036e+03
5.988305687168876830e+03,1.950817513532183739e+03
6.119990316412872744e+03,1.950817513532183739e+03
8.119472957311361824e+03,2.021112751694864528e+03
7.001685431254149989e+03,2.021112751694864528e+03
5.049880825480594467e+03,2.702540123217155269e+03
4.842837611643758464e+03,2.702540123217155269e+03
6.732525833060331024e+03,1.078363509318357956e+03
6.379467305870501150e+03,1.078363509318357956e+03
5.115415229152157735e+03,2.206704026250519746e+03
5.089183756269149853e+03,2.206704026250519746e+03
6.840713571904329001e+03,1.553758015299254566e+03
6.620026697026848524e+03,1.553758015299254566e+03
5.078747644139380100e+03,2.354267327661093532e+03
4.955331057320402579e+03,2.354267327661093532e+03
5.821435892078154211e+03,1.623230551679130031e+03
5.610924327507159433e+03,1.623230551679130031e+03
8.851885795091504406e+03,9.335482928376712835e+02
8.710274669517959410e+03,9.335482928376712835e+02
6.635221945156777110e+03,1.416501053959300634e+03
6.714239152219869538e+03,1.416501053959300634e+03
6.044129650638646126e+03,1.497842957893245284e+03
6.567415031104477748e+03,1.497842957893245284e+03
6.182212496397632094e+03,1.602141256686163160e+03
5.545547492573719865e+03,1.602141256686163160e+03
5.573415209605153905e+03,1.692167782873852502e+03
5.415531329924112470e+03,1.692167782873852502e+03
5.636673728709960415e+03,1.252364614343759285e+03
5.801168633468821099e+03,1.252364614343759285e+03
6.999946094181168519e+03,1.814936550755728149e+03
6.970535165454407434e+03,1.814936550755728149e+03
6.515750629796959402e+03,2.178265345819572303e+03
6.705640633485755643e+03,2.178265345819572303e+03
6.227013130915105648e+03,2.297463167394520042e+03
6.423467826442038131e+03,2.297463167394520042e+03
6.005910250430892120e+03,2.138218565931757894e+03
5.054059637185398969e+03,2.138218565931757894e+03
6.594534127184746467e+03,1.349428508672867792e+03
5.974056833242844732e+03,1.349428508672867792e+03
6.806221542851835693e+03,1.759545837028121014e+03
6.568021537760026149e+03,1.759545837028121014e+03
6.393406114553728912e+03,1.955735135876509503e+03
5.926142168698364912e+03,1.955735135876509503e+03
4.844571580964315217e+03,1.789648627753957498e+03
4.936910587112342910e+03,1.789648627753957498e+03
5.428238803660935446e+03,2.291877772707892291e+03
5.181831599481604826e+03,2.291877772707892291e+03
5.578819475649636843e+03,1.057421323372101142e+03
5.778100641506943248e+03,1.057421323372101142e+03
6.659383390427351515e+03,1.900297223236292211e+03
6.564812376857357776e+03,1.900297223236292211e+03
